Sentence #,Word,POS,Tag
Sentence: 1,The,,O
Sentence: 1,patient,,O
Sentence: 1,was,,O
Sentence: 1,a,,O
Sentence: 1,34-yr-old,,B-Age
Sentence: 1,man,,B-Sex
Sentence: 1,who,,O
Sentence: 1,presented,,O
Sentence: 1,with,,O
Sentence: 1,complaints,,O
Sentence: 1,of,,O
Sentence: 1,fever,,B-Sign_symptom
Sentence: 1,and,,O
Sentence: 1,a,,O
Sentence: 1,chronic,,B-Detailed_description
Sentence: 1,cough,,B-Sign_symptom
Sentence: 1,.,,O
Sentence: 2,He,,O
Sentence: 2,was,,O
Sentence: 2,a,,O
Sentence: 2,smoker,,O
Sentence: 2,and,,O
Sentence: 2,had,,O
Sentence: 2,a,,O
Sentence: 2,history,,O
Sentence: 2,of,,O
Sentence: 2,pulmonary,,O
Sentence: 2,tuberculosis,,O
Sentence: 2,that,,O
Sentence: 2,had,,O
Sentence: 2,been,,O
Sentence: 2,treated,,B-Lab_value
Sentence: 2,and,,O
Sentence: 2,cured,,O
Sentence: 2,.,,O
Sentence: 3,A,,O
Sentence: 3,computed,,O
Sentence: 3,tomographic,,O
Sentence: 3,(,,O
Sentence: 3,CT,,O
Sentence: 3,),,O
Sentence: 3,scan,,O
Sentence: 3,revealed,,O
Sentence: 3,multiple,,B-Detailed_description
Sentence: 3,tiny,,B-Detailed_description
Sentence: 3,nodules,,B-Sign_symptom
Sentence: 3,in,,O
Sentence: 3,both,,O
Sentence: 3,lungs,,O
Sentence: 3,.,,O
Sentence: 4,A,,O
Sentence: 4,thoracoscopic,,B-Detailed_description
Sentence: 4,lung,,O
Sentence: 4,biopsy,,O
Sentence: 4,was,,O
Sentence: 4,taken,,O
Sentence: 4,from,,O
Sentence: 4,the,,O
Sentence: 4,right,,O
Sentence: 4,upper,,O
Sentence: 4,lobe,,O
Sentence: 4,.,,O
Sentence: 5,The,,O
Sentence: 5,microscopic,,O
Sentence: 5,examination,,O
Sentence: 5,revealed,,O
Sentence: 5,a,,O
Sentence: 5,typical,,O
Sentence: 5,LCH,,B-Sign_symptom
Sentence: 5,.,,O
Sentence: 6,The,,O
Sentence: 6,tumor,,O
Sentence: 6,cells,,O
Sentence: 6,had,,O
Sentence: 6,vesicular,,B-Detailed_description
Sentence: 6,and,,O
Sentence: 6,grooved,,O
Sentence: 6,nuclei,,O
Sentence: 6,",",,O
Sentence: 6,and,,O
Sentence: 6,they,,O
Sentence: 6,formed,,O
Sentence: 6,small,,O
Sentence: 6,aggregations,,O
Sentence: 6,around,,O
Sentence: 6,the,,O
Sentence: 6,bronchioles,,O
Sentence: 6,(,,O
Sentence: 6,Fig.,,O
Sentence: 6,1,,O
Sentence: 6,),,O
Sentence: 6,.,,O
Sentence: 7,The,,O
Sentence: 7,tumor,,O
Sentence: 7,cells,,O
Sentence: 7,were,,O
Sentence: 7,strongly,,B-Severity
Sentence: 7,positive,,B-Lab_value
Sentence: 7,for,,O
Sentence: 7,S-100,,O
Sentence: 7,protein,,O
Sentence: 7,",",,O
Sentence: 7,vimentin,,O
Sentence: 7,",",,O
Sentence: 7,CD68,,O
Sentence: 7,and,,O
Sentence: 7,CD1a,,O
Sentence: 7,.,,O
Sentence: 8,There,,O
Sentence: 8,were,,O
Sentence: 8,infiltrations,,O
Sentence: 8,of,,O
Sentence: 8,lymphocytes,,O
Sentence: 8,and,,O
Sentence: 8,eosinophils,,O
Sentence: 8,around,,O
Sentence: 8,the,,O
Sentence: 8,tumor,,O
Sentence: 8,cells,,O
Sentence: 8,.,,O
Sentence: 9,With,,O
Sentence: 9,performing,,O
